t,original
4.990000000000003877e-01,9.749961000000001432e-01
5.000000000000003331e-01,9.749999999999999778e-01
5.010000000000003340e-01,9.749961000000000322e-01
5.020000000000003348e-01,9.749843999999999733e-01
5.030000000000003357e-01,9.749649000000000232e-01
5.040000000000003366e-01,9.749375999999999598e-01
5.050000000000003375e-01,9.749025000000000052e-01
5.060000000000003384e-01,9.748596000000000483e-01
5.070000000000003393e-01,9.748088999999998672e-01
5.080000000000003402e-01,9.747503999999999058e-01
5.090000000000003411e-01,9.746840999999999422e-01
5.100000000000003419e-01,9.746099999999998653e-01
5.110000000000003428e-01,9.745280999999998972e-01
5.120000000000003437e-01,9.744383999999999268e-01
5.130000000000003446e-01,9.743409000000000653e-01
5.140000000000003455e-01,9.742355999999999794e-01
5.150000000000003464e-01,9.741225000000000023e-01
5.160000000000003473e-01,9.740015999999999119e-01
5.170000000000003482e-01,9.738728999999998193e-01
5.180000000000003491e-01,9.737363999999999464e-01
5.190000000000003499e-01,9.735920999999998493e-01
5.200000000000003508e-01,9.734399999999999720e-01
5.210000000000003517e-01,9.732800999999998703e-01
5.220000000000003526e-01,9.731123999999999885e-01
5.230000000000003535e-01,9.729368999999998824e-01
5.240000000000003544e-01,9.727535999999999961e-01
5.250000000000003553e-01,9.725624999999998854e-01
5.260000000000003562e-01,9.723635999999999946e-01
5.270000000000003570e-01,9.721568999999998795e-01
5.280000000000003579e-01,9.719423999999999841e-01
5.290000000000003588e-01,9.717200999999998645e-01
5.300000000000003597e-01,9.714899999999999647e-01
5.310000000000003606e-01,9.712520999999998406e-01
5.320000000000003615e-01,9.710063999999999362e-01
5.330000000000003624e-01,9.707528999999999186e-01
5.340000000000003633e-01,9.704916000000000098e-01
5.350000000000003642e-01,9.702224999999998767e-01
5.360000000000003650e-01,9.699455999999999634e-01
5.370000000000003659e-01,9.696608999999998257e-01
5.380000000000003668e-01,9.693683999999997969e-01
5.390000000000003677e-01,9.690680999999998768e-01
5.400000000000003686e-01,9.687599999999997324e-01
5.410000000000003695e-01,9.684440999999999189e-01
5.420000000000003704e-01,9.681203999999997700e-01
5.430000000000003713e-01,9.677888999999998410e-01
5.440000000000003721e-01,9.674495999999997986e-01
5.450000000000003730e-01,9.671024999999998650e-01
5.460000000000003739e-01,9.667475999999998182e-01
5.470000000000003748e-01,9.663848999999998801e-01
5.480000000000003757e-01,9.660143999999998288e-01
5.490000000000003766e-01,9.656360999999998862e-01
5.500000000000003775e-01,9.652499999999998304e-01
5.510000000000003784e-01,9.648560999999998833e-01
5.520000000000003793e-01,9.644543999999998229e-01
5.530000000000003801e-01,9.640448999999998714e-01
5.540000000000003810e-01,9.636275999999998065e-01
5.550000000000003819e-01,9.632024999999998505e-01
5.560000000000003828e-01,9.627695999999997811e-01
5.570000000000003837e-01,9.623288999999997095e-01
5.580000000000003846e-01,9.618803999999998577e-01
5.590000000000003855e-01,9.614240999999996706e-01
5.600000000000003864e-01,9.609599999999998143e-01
5.610000000000003872e-01,9.604880999999997337e-01
5.620000000000003881e-01,9.600083999999997619e-01
5.630000000000003890e-01,9.595208999999996768e-01
5.640000000000003899e-01,9.590255999999998116e-01
5.650000000000003908e-01,9.585224999999997220e-01
5.660000000000003917e-01,9.580115999999998522e-01
5.670000000000003926e-01,9.574928999999997581e-01
5.680000000000003935e-01,9.569663999999997728e-01
5.690000000000003944e-01,9.564320999999997852e-01
5.700000000000003952e-01,9.558899999999997954e-01
5.710000000000003961e-01,9.553400999999996923e-01
5.720000000000003970e-01,9.547823999999998090e-01
5.730000000000003979e-01,9.542168999999997014e-01
5.740000000000003988e-01,9.536435999999998137e-01
5.750000000000003997e-01,9.530624999999997016e-01
5.760000000000004006e-01,9.524735999999998093e-01
5.770000000000004015e-01,9.518768999999996927e-01
5.780000000000004023e-01,9.512723999999996849e-01
5.790000000000004032e-01,9.506600999999997859e-01
5.800000000000004041e-01,9.500399999999996625e-01
5.810000000000004050e-01,9.494120999999997590e-01
5.820000000000004059e-01,9.487763999999996312e-01
5.830000000000004068e-01,9.481328999999997231e-01
5.840000000000004077e-01,9.474815999999997018e-01
5.850000000000004086e-01,9.468224999999997893e-01
5.860000000000004095e-01,9.461555999999996525e-01
5.870000000000004103e-01,9.454808999999997354e-01
5.880000000000004112e-01,9.447983999999997051e-01
5.890000000000004121e-01,9.441080999999997836e-01
5.900000000000004130e-01,9.434099999999996378e-01
5.910000000000004139e-01,9.427040999999997117e-01
5.920000000000004148e-01,9.419903999999996724e-01
5.930000000000004157e-01,9.412688999999997419e-01
5.940000000000004166e-01,9.405395999999996981e-01
5.950000000000004174e-01,9.398024999999997631e-01
5.960000000000004183e-01,9.390575999999997148e-01
5.970000000000004192e-01,9.383048999999995532e-01
5.980000000000004201e-01,9.375443999999996114e-01
5.990000000000004210e-01,9.367760999999995564e-01
6.000000000000004219e-01,9.359999999999997211e-01
6.010000000000004228e-01,9.352160999999995505e-01
6.020000000000004237e-01,9.344243999999997108e-01
6.030000000000004245e-01,9.336248999999995357e-01
6.040000000000004254e-01,9.328175999999996915e-01
6.050000000000004263e-01,9.320024999999996229e-01
6.060000000000004272e-01,9.311795999999996631e-01
6.070000000000004281e-01,9.303488999999995901e-01
6.080000000000004290e-01,9.295103999999996258e-01
6.090000000000004299e-01,9.286640999999995483e-01
6.100000000000004308e-01,9.278099999999996905e-01
6.110000000000004317e-01,9.269480999999996085e-01
6.120000000000004325e-01,9.260783999999996352e-01
6.130000000000004334e-01,9.252008999999995487e-01
6.140000000000004343e-01,9.243155999999996819e-01
6.150000000000004352e-01,9.234224999999995909e-01
6.160000000000004361e-01,9.225215999999997196e-01
6.170000000000004370e-01,9.216128999999996241e-01
6.180000000000004379e-01,9.206963999999995263e-01
6.190000000000004388e-01,9.197720999999995373e-01
6.200000000000004396e-01,9.188399999999995460e-01
6.210000000000004405e-01,9.179000999999995525e-01
6.220000000000004414e-01,9.169523999999994457e-01
6.230000000000004423e-01,9.159968999999995587e-01
6.240000000000004432e-01,9.150335999999994474e-01
6.250000000000004441e-01,9.140624999999995559e-01
6.260000000000004450e-01,9.130835999999995511e-01
6.270000000000004459e-01,9.120968999999995441e-01
6.280000000000004468e-01,9.111023999999995349e-01
6.290000000000004476e-01,9.101000999999996344e-01
6.300000000000004485e-01,9.090899999999995096e-01
6.310000000000004494e-01,9.080720999999996046e-01
6.320000000000004503e-01,9.070463999999994753e-01
6.330000000000004512e-01,9.060128999999995658e-01
6.340000000000004521e-01,9.049715999999995431e-01
6.350000000000004530e-01,9.039224999999996291e-01
6.360000000000004539e-01,9.028655999999994908e-01
6.370000000000004547e-01,9.018008999999994613e-01
6.380000000000004556e-01,9.007283999999995405e-01
6.390000000000004565e-01,8.996480999999993955e-01
6.400000000000004574e-01,8.985599999999994703e-01
6.410000000000004583e-01,8.974640999999994317e-01
6.420000000000004592e-01,8.963603999999995020e-01
6.430000000000004601e-01,8.952488999999994590e-01
6.440000000000004610e-01,8.941295999999995248e-01
6.450000000000004619e-01,8.930024999999993662e-01
6.460000000000004627e-01,8.918675999999995385e-01
6.470000000000004636e-01,8.907248999999993755e-01
6.480000000000004645e-01,8.895743999999995433e-01
6.490000000000004654e-01,8.884160999999993757e-01
6.500000000000004663e-01,8.872499999999995390e-01
6.510000000000004672e-01,8.860760999999993670e-01
6.520000000000004681e-01,8.848943999999995258e-01
6.530000000000004690e-01,8.837048999999994603e-01
6.540000000000004698e-01,8.825075999999995036e-01
6.550000000000004707e-01,8.813024999999994336e-01
6.560000000000004716e-01,8.800895999999993613e-01
6.570000000000004725e-01,8.788688999999993978e-01
6.580000000000004734e-01,8.776403999999993211e-01
6.590000000000004743e-01,8.764040999999993531e-01
6.600000000000004752e-01,8.751599999999993829e-01
6.610000000000004761e-01,8.739080999999994104e-01
6.620000000000004770e-01,8.726483999999993246e-01
6.630000000000004778e-01,8.713808999999993476e-01
6.640000000000004787e-01,8.701055999999993684e-01
6.650000000000004796e-01,8.688224999999993869e-01
6.660000000000004805e-01,8.675315999999992922e-01
6.670000000000004814e-01,8.662328999999994172e-01
6.680000000000004823e-01,8.649263999999993180e-01
6.690000000000004832e-01,8.636120999999994385e-01
6.700000000000004841e-01,8.622899999999993348e-01
6.710000000000004849e-01,8.609600999999993398e-01
6.720000000000004858e-01,8.596223999999993426e-01
6.730000000000004867e-01,8.582768999999993431e-01
6.740000000000004876e-01,8.569235999999993414e-01
6.750000000000004885e-01,8.555624999999993374e-01
6.760000000000004894e-01,8.541935999999993312e-01
6.770000000000004903e-01,8.528168999999992117e-01
6.780000000000004912e-01,8.514323999999993120e-01
6.790000000000004921e-01,8.500400999999991880e-01
6.800000000000004929e-01,8.486399999999992838e-01
6.810000000000004938e-01,8.472320999999992663e-01
6.820000000000004947e-01,8.458163999999992466e-01
6.830000000000004956e-01,8.443928999999992246e-01
6.840000000000004965e-01,8.429615999999993114e-01
6.850000000000004974e-01,8.415224999999991740e-01
6.860000000000004983e-01,8.400755999999992563e-01
6.870000000000004992e-01,8.386208999999992253e-01
6.880000000000005000e-01,8.371583999999993031e-01
6.890000000000005009e-01,8.356880999999992676e-01
6.900000000000005018e-01,8.342099999999993409e-01
6.910000000000005027e-01,8.327240999999991899e-01
6.920000000000005036e-01,8.312303999999992588e-01
6.930000000000005045e-01,8.297288999999992143e-01
6.940000000000005054e-01,8.282195999999992786e-01
6.950000000000005063e-01,8.267024999999992296e-01
6.960000000000005071e-01,8.251775999999991784e-01
6.970000000000005080e-01,8.236448999999992360e-01
6.980000000000005089e-01,8.221043999999991803e-01
6.990000000000005098e-01,8.205560999999992333e-01
7.000000000000005107e-01,8.189999999999991731e-01
7.010000000000005116e-01,8.174360999999992217e-01
7.020000000000005125e-01,8.158643999999991570e-01
7.030000000000005134e-01,8.142848999999992010e-01
7.040000000000005143e-01,8.126975999999991318e-01
7.050000000000005151e-01,8.111024999999991714e-01
7.060000000000005160e-01,8.094995999999990977e-01
7.070000000000005169e-01,8.078888999999991327e-01
7.080000000000005178e-01,8.062703999999991655e-01
7.090000000000005187e-01,8.046440999999991961e-01
7.100000000000005196e-01,8.030099999999991134e-01
7.110000000000005205e-01,8.013680999999991394e-01
7.120000000000005214e-01,7.997183999999991633e-01
7.130000000000005222e-01,7.980608999999991848e-01
7.140000000000005231e-01,7.963955999999990931e-01
7.150000000000005240e-01,7.947224999999991102e-01
7.160000000000005249e-01,7.930415999999991250e-01
7.170000000000005258e-01,7.913528999999990265e-01
7.180000000000005267e-01,7.896563999999991479e-01
7.190000000000005276e-01,7.879520999999990449e-01
7.200000000000005285e-01,7.862399999999990508e-01
7.210000000000005294e-01,7.845200999999990543e-01
7.220000000000005302e-01,7.827923999999990556e-01
7.230000000000005311e-01,7.810568999999990547e-01
7.240000000000005320e-01,7.793135999999990515e-01
7.250000000000005329e-01,7.775624999999990461e-01
7.260000000000005338e-01,7.758035999999990384e-01
7.270000000000005347e-01,7.740368999999990285e-01
7.280000000000005356e-01,7.722623999999990163e-01
7.290000000000005365e-01,7.704800999999990019e-01
7.300000000000005373e-01,7.686899999999990962e-01
7.310000000000005382e-01,7.668920999999989663e-01
7.320000000000005391e-01,7.650863999999990561e-01
7.330000000000005400e-01,7.632728999999990327e-01
7.340000000000005409e-01,7.614515999999990070e-01
7.350000000000005418e-01,7.596224999999989791e-01
7.360000000000005427e-01,7.577855999999989489e-01
7.370000000000005436e-01,7.559408999999990275e-01
7.380000000000005445e-01,7.540883999999988818e-01
7.390000000000005453e-01,7.522280999999989559e-01
7.400000000000005462e-01,7.503599999999989167e-01
7.410000000000005471e-01,7.484840999999989863e-01
7.420000000000005480e-01,7.466003999999989427e-01
7.430000000000005489e-01,7.447088999999990078e-01
7.440000000000005498e-01,7.428095999999989596e-01
7.450000000000005507e-01,7.409024999999989092e-01
7.460000000000005516e-01,7.389875999999988565e-01
7.470000000000005524e-01,7.370648999999989126e-01
7.480000000000005533e-01,7.351343999999988554e-01
7.490000000000005542e-01,7.331960999999989070e-01
7.500000000000005551e-01,7.312499999999988454e-01
7.510000000000005560e-01,7.292960999999988925e-01
7.520000000000005569e-01,7.273343999999988263e-01
7.530000000000005578e-01,7.253648999999989799e-01
7.540000000000005587e-01,7.233875999999989093e-01
7.550000000000005596e-01,7.214024999999988363e-01
7.560000000000005604e-01,7.194095999999988722e-01
7.570000000000005613e-01,7.174088999999987948e-01
7.580000000000005622e-01,7.154003999999988261e-01
7.590000000000005631e-01,7.133840999999988552e-01
7.600000000000005640e-01,7.113599999999988821e-01
7.610000000000005649e-01,7.093280999999987957e-01
7.620000000000005658e-01,7.072883999999988180e-01
7.630000000000005667e-01,7.052408999999988382e-01
7.640000000000005675e-01,7.031855999999988560e-01
7.650000000000005684e-01,7.011224999999987606e-01
7.660000000000005693e-01,6.990515999999988850e-01
7.670000000000005702e-01,6.969728999999987851e-01
7.680000000000005711e-01,6.948863999999987939e-01
7.690000000000005720e-01,6.927920999999988005e-01
7.700000000000005729e-01,6.906899999999988049e-01
7.710000000000005738e-01,6.885800999999988070e-01
7.720000000000005747e-01,6.864623999999988069e-01
7.730000000000005755e-01,6.843368999999988045e-01
7.740000000000005764e-01,6.822035999999987999e-01
7.750000000000005773e-01,6.800624999999987930e-01
7.760000000000005782e-01,6.779135999999986728e-01
7.770000000000005791e-01,6.757568999999987724e-01
7.780000000000005800e-01,6.735923999999986478e-01
7.790000000000005809e-01,6.714200999999987429e-01
7.800000000000005818e-01,6.692399999999987248e-01
7.810000000000005826e-01,6.670520999999987044e-01
7.820000000000005835e-01,6.648563999999986818e-01
7.830000000000005844e-01,6.626528999999987679e-01
7.840000000000005853e-01,6.604415999999986298e-01
7.850000000000005862e-01,6.582224999999987114e-01
7.860000000000005871e-01,6.559955999999986798e-01
7.870000000000005880e-01,6.537608999999986459e-01
7.880000000000005889e-01,6.515183999999986098e-01
7.890000000000005898e-01,6.492680999999986824e-01
7.900000000000005906e-01,6.470099999999986418e-01
7.910000000000005915e-01,6.447440999999987099e-01
7.920000000000005924e-01,6.424703999999986648e-01
7.930000000000005933e-01,6.401888999999986174e-01
7.940000000000005942e-01,6.378995999999985678e-01
7.950000000000005951e-01,6.356024999999986269e-01
7.960000000000005960e-01,6.332975999999985728e-01
7.970000000000005969e-01,6.309848999999985164e-01
7.980000000000005977e-01,6.286643999999985688e-01
7.990000000000005986e-01,6.263360999999985079e-01
8.000000000000005995e-01,6.239999999999985558e-01
8.010000000000006004e-01,6.216560999999986015e-01
8.020000000000006013e-01,6.193043999999985338e-01
8.030000000000006022e-01,6.169448999999985750e-01
8.040000000000006031e-01,6.145775999999986139e-01
8.050000000000006040e-01,6.122024999999985395e-01
8.060000000000006048e-01,6.098195999999985739e-01
8.070000000000006057e-01,6.074288999999984950e-01
8.080000000000006066e-01,6.050303999999985249e-01
8.090000000000006075e-01,6.026240999999985526e-01
8.100000000000006084e-01,6.002099999999985780e-01
8.110000000000006093e-01,5.977880999999984901e-01
8.120000000000006102e-01,5.953583999999985110e-01
8.130000000000006111e-01,5.929208999999985297e-01
8.140000000000006120e-01,5.904755999999985461e-01
8.150000000000006128e-01,5.880224999999984492e-01
8.160000000000006137e-01,5.855615999999984611e-01
8.170000000000006146e-01,5.830928999999984708e-01
8.180000000000006155e-01,5.806163999999984782e-01
8.190000000000006164e-01,5.781320999999984833e-01
8.200000000000006173e-01,5.756399999999983752e-01
8.210000000000006182e-01,5.731400999999984869e-01
8.220000000000006191e-01,5.706323999999983743e-01
8.230000000000006199e-01,5.681168999999984814e-01
8.240000000000006208e-01,5.655935999999983643e-01
8.250000000000006217e-01,5.630624999999984670e-01
8.260000000000006226e-01,5.605235999999983454e-01
8.270000000000006235e-01,5.579768999999984436e-01
8.280000000000006244e-01,5.554223999999984285e-01
8.290000000000006253e-01,5.528600999999984111e-01
8.300000000000006262e-01,5.502899999999983915e-01
8.310000000000006271e-01,5.477120999999983697e-01
8.320000000000006279e-01,5.451263999999983456e-01
8.330000000000006288e-01,5.425328999999984303e-01
8.340000000000006297e-01,5.399315999999984017e-01
8.350000000000006306e-01,5.373224999999982598e-01
8.360000000000006315e-01,5.347055999999983378e-01
8.370000000000006324e-01,5.320808999999983024e-01
8.380000000000006333e-01,5.294483999999983759e-01
8.390000000000006342e-01,5.268080999999983360e-01
8.400000000000006350e-01,5.241599999999982940e-01
8.410000000000006359e-01,5.215040999999982496e-01
8.420000000000006368e-01,5.188403999999983141e-01
8.430000000000006377e-01,5.161688999999982652e-01
8.440000000000006386e-01,5.134895999999983252e-01
8.450000000000006395e-01,5.108024999999982718e-01
8.460000000000006404e-01,5.081075999999983273e-01
8.470000000000006413e-01,5.054048999999982694e-01
8.480000000000006422e-01,5.026943999999983204e-01
8.490000000000006430e-01,4.999760999999982025e-01
8.500000000000006439e-01,4.972499999999982490e-01
8.510000000000006448e-01,4.945160999999982376e-01
8.520000000000006457e-01,4.917743999999982241e-01
8.530000000000006466e-01,4.890248999999982082e-01
8.540000000000006475e-01,4.862675999999982457e-01
8.550000000000006484e-01,4.835024999999981699e-01
8.560000000000006493e-01,4.807295999999981473e-01
8.570000000000006501e-01,4.779488999999981780e-01
8.580000000000006510e-01,4.751603999999981509e-01
8.590000000000006519e-01,4.723640999999981771e-01
8.600000000000006528e-01,4.695599999999981455e-01
8.610000000000006537e-01,4.667480999999981672e-01
8.620000000000006546e-01,4.639283999999981312e-01
8.630000000000006555e-01,4.611008999999981484e-01
8.640000000000006564e-01,4.582655999999981078e-01
8.650000000000006573e-01,4.554224999999981205e-01
8.660000000000006581e-01,4.525715999999980754e-01
8.670000000000006590e-01,4.497128999999981391e-01
8.680000000000006599e-01,4.468463999999980896e-01
8.690000000000006608e-01,4.439720999999980933e-01
8.700000000000006617e-01,4.410899999999980947e-01
8.710000000000006626e-01,4.382000999999980939e-01
8.720000000000006635e-01,4.353023999999980354e-01
8.730000000000006644e-01,4.323968999999980856e-01
8.740000000000006652e-01,4.294835999999980225e-01
8.750000000000006661e-01,4.265624999999980127e-01
8.760000000000006670e-01,4.236335999999980562e-01
8.770000000000006679e-01,4.206968999999979864e-01
8.780000000000006688e-01,4.177523999999980253e-01
8.790000000000006697e-01,4.148000999999980065e-01
8.800000000000006706e-01,4.118399999999979855e-01
8.810000000000006715e-01,4.088720999999979622e-01
8.820000000000006724e-01,4.058963999999979921e-01
8.830000000000006732e-01,4.029128999999979643e-01
8.840000000000006741e-01,3.999215999999979898e-01
8.850000000000006750e-01,3.969224999999979575e-01
8.860000000000006759e-01,3.939155999999979785e-01
8.870000000000006768e-01,3.909008999999979417e-01
8.880000000000006777e-01,3.878783999999979581e-01
8.890000000000006786e-01,3.848480999999979169e-01
8.900000000000006795e-01,3.818099999999979288e-01
8.910000000000006803e-01,3.787640999999979385e-01
8.920000000000006812e-01,3.757103999999979460e-01
8.930000000000006821e-01,3.726488999999978957e-01
8.940000000000006830e-01,3.695795999999978432e-01
8.950000000000006839e-01,3.665024999999978994e-01
8.960000000000006848e-01,3.634175999999978424e-01
8.970000000000006857e-01,3.603248999999978941e-01
8.980000000000006866e-01,3.572243999999978326e-01
8.990000000000006875e-01,3.541160999999978798e-01
9.000000000000006883e-01,3.509999999999978137e-01
9.010000000000006892e-01,3.478760999999978565e-01
9.020000000000006901e-01,3.447443999999978415e-01
9.030000000000006910e-01,3.416048999999978242e-01
9.040000000000006919e-01,3.384575999999978047e-01
9.050000000000006928e-01,3.353024999999978384e-01
9.060000000000006937e-01,3.321395999999978144e-01
9.070000000000006946e-01,3.289688999999977881e-01
9.080000000000006954e-01,3.257903999999977596e-01
9.090000000000006963e-01,3.226040999999977843e-01
9.100000000000006972e-01,3.194099999999977513e-01
9.110000000000006981e-01,3.162080999999977715e-01
9.120000000000006990e-01,3.129983999999977340e-01
9.130000000000006999e-01,3.097808999999977497e-01
9.140000000000007008e-01,3.065555999999977077e-01
9.150000000000007017e-01,3.033224999999977189e-01
9.160000000000007025e-01,3.000815999999977279e-01
9.170000000000007034e-01,2.968328999999976792e-01
9.180000000000007043e-01,2.935763999999976837e-01
9.190000000000007052e-01,2.903120999999976859e-01
9.200000000000007061e-01,2.870399999999976859e-01
9.210000000000007070e-01,2.837600999999976836e-01
9.220000000000007079e-01,2.804723999999976791e-01
9.230000000000007088e-01,2.771768999999976724e-01
9.240000000000007097e-01,2.738735999999976634e-01
9.250000000000007105e-01,2.705624999999976521e-01
9.260000000000007114e-01,2.672435999999976386e-01
9.270000000000007123e-01,2.639168999999976228e-01
9.280000000000007132e-01,2.605823999999976048e-01
9.290000000000007141e-01,2.572400999999975846e-01
9.300000000000007150e-01,2.538899999999976176e-01
9.310000000000007159e-01,2.505320999999975928e-01
9.320000000000007168e-01,2.471663999999975936e-01
9.330000000000007176e-01,2.437928999999975643e-01
9.340000000000007185e-01,2.404115999999975606e-01
9.350000000000007194e-01,2.370224999999975546e-01
9.360000000000007203e-01,2.336255999999975463e-01
9.370000000000007212e-01,2.302208999999975358e-01
9.380000000000007221e-01,2.268083999999975231e-01
9.390000000000007230e-01,2.233880999999975359e-01
9.400000000000007239e-01,2.199599999999974909e-01
9.410000000000007248e-01,2.165240999999974991e-01
9.420000000000007256e-01,2.130803999999974774e-01
9.430000000000007265e-01,2.096288999999974811e-01
9.440000000000007274e-01,2.061695999999974827e-01
9.450000000000007283e-01,2.027024999999974819e-01
9.460000000000007292e-01,1.992275999999974512e-01
9.470000000000007301e-01,1.957448999999974459e-01
9.480000000000007310e-01,1.922543999999974385e-01
9.490000000000007319e-01,1.887560999999974287e-01
9.500000000000007327e-01,1.852499999999974167e-01
9.510000000000007336e-01,1.817360999999974303e-01
9.520000000000007345e-01,1.782143999999974138e-01
9.530000000000007354e-01,1.746848999999973950e-01
9.540000000000007363e-01,1.711475999999974018e-01
9.550000000000007372e-01,1.676024999999973786e-01
9.560000000000007381e-01,1.640495999999973809e-01
9.570000000000007390e-01,1.604888999999973531e-01
9.580000000000007399e-01,1.569203999999973509e-01
9.590000000000007407e-01,1.533440999999973464e-01
9.600000000000007416e-01,1.497599999999973397e-01
9.610000000000007425e-01,1.461680999999973307e-01
9.620000000000007434e-01,1.425683999999973195e-01
9.630000000000007443e-01,1.389608999999973060e-01
9.640000000000007452e-01,1.353455999999973181e-01
9.650000000000007461e-01,1.317224999999973001e-01
9.660000000000007470e-01,1.280915999999972799e-01
9.670000000000007478e-01,1.244528999999972713e-01
9.680000000000007487e-01,1.208063999999972743e-01
9.690000000000007496e-01,1.171520999999972473e-01
9.700000000000007505e-01,1.134899999999972459e-01
9.710000000000007514e-01,1.098200999999972421e-01
9.720000000000007523e-01,1.061423999999972362e-01
9.730000000000007532e-01,1.024568999999972141e-01
9.740000000000007541e-01,9.876359999999720363e-02
9.750000000000007550e-01,9.506249999999720479e-02
9.760000000000007558e-01,9.135359999999718983e-02
9.770000000000007567e-01,8.763689999999718649e-02
9.780000000000007576e-01,8.391239999999716703e-02
9.790000000000007585e-01,8.018009999999715920e-02
9.800000000000007594e-01,7.643999999999714912e-02
9.810000000000007603e-01,7.269209999999715066e-02
9.820000000000007612e-01,6.893639999999713608e-02
9.830000000000007621e-01,6.517289999999713312e-02
9.840000000000007629e-01,6.140159999999711404e-02
9.850000000000007638e-01,5.762249999999711353e-02
9.860000000000007647e-01,5.383559999999709689e-02
9.870000000000007656e-01,5.004089999999709187e-02
9.880000000000007665e-01,4.623839999999707767e-02
9.890000000000007674e-01,4.242809999999707510e-02
9.900000000000007683e-01,3.860999999999706334e-02
9.910000000000007692e-01,3.478409999999705626e-02
9.920000000000007701e-01,3.095039999999704347e-02
9.930000000000007709e-01,2.710889999999703537e-02
9.940000000000007718e-01,2.325959999999702502e-02
9.950000000000007727e-01,1.940249999999701588e-02
9.960000000000007736e-01,1.553759999999700624e-02
9.970000000000007745e-01,1.166489999999699607e-02
9.980000000000007754e-01,7.784399999996988000e-03
9.990000000000007763e-01,3.896099999996978543e-03
